X,Y,OBJECTID,ROWID_,DAY_OF_WEEK,HOLIDAY,WEEK_OF_YEAR,MONTH_OF_YEAR,ISSUE_TIME,VIOLATION_CODE,VIOLATION_DESCRIPTION,LOCATION,RP_PLATE_STATE,BODY_STYLE,ADDRESS_ID,STREETSEGID,XCOORD,YCOORD,TICKET_ISSUE_DATE
-77.032404439900006,38.917449745,1839847,,,,,,,P007,PARK IN A BUS ZONE,2000 14TH ST NW,MD,,239976,3449,397190,138842,2017-09-11T11:37:00.000Z
-77.032404439900006,38.917449745,1839848,,,,,,,P007,PARK IN A BUS ZONE,2000 14TH ST NW,DC,,239976,3449,397190,138842,2017-09-13T11:41:00.000Z
-77.032404439900006,38.917449745,1839849,,,,,,,P007,PARK IN A BUS ZONE,2000 14TH ST NW,PA,,239976,3449,397190,138842,2017-09-13T11:44:00.000Z
-77.032334984200006,38.9168552143,1839850,,,,,,,P001,PARK ABREAST OF ANOTHER VEHICLE,1400 U ST NW,MD,,309437,2331,397196,138776,2017-09-18T11:50:00.000Z
-77.032334984200006,38.9168552143,1839851,,,,,,,P170,FAILURE TO DISPLAY CURRENT TAGS,1400 U ST NW,MD,,309437,2331,397196,138776,2017-09-13T11:52:00.000Z
-77.032334984200006,38.9168552143,1839852,,,,,,,P007,PARK IN A BUS ZONE,1400 U ST NW,DC,,309437,2331,397196,138776,2017-09-13T12:10:00.000Z
-77.021914715600005,38.891318950200002,1839853,,,,,,,P269,NO STANDING ANYTIME,200 7TH ST NW,VA,,800112,94,398099,135941,2017-09-10T14:30:00.000Z
-77.021914715600005,38.891318950200002,1839854,,,,,,,P269,NO STANDING ANYTIME,200 7TH ST NW,VA,,800112,94,398099,135941,2017-09-10T14:32:00.000Z
-77.021914715600005,38.891318950200002,1839855,,,,,,,P269,NO STANDING ANYTIME,200 7TH ST NW,VA,,800112,94,398099,135941,2017-09-10T14:30:00.000Z
-77.017566678899996,38.975042868099997,1841460,,,,,,,P039,PARK AT EXPIRED METER,327 CEDAR ST NW,MD,,294822,6515,398478,145235,2017-09-01T22:52:00.000Z
-77.017566678899996,38.975042868099997,1841461,,,,,,,P039,PARK AT EXPIRED METER,327 CEDAR ST NW,MD,,294822,6515,398478,145235,2017-09-01T22:59:00.000Z
-77.017566678899996,38.975042868099997,1841462,,,,,,,P039,PARK AT EXPIRED METER,327 CEDAR ST NW,VA,,294822,6515,398478,145235,2017-09-01T23:03:00.000Z
-77.017566678899996,38.975042868099997,1841463,,,,,,,P039,PARK AT EXPIRED METER,327 CEDAR ST NW,MD,,294822,6515,398478,145235,2017-09-01T23:06:00.000Z
-77.018906958200006,38.8940940544,1841245,,,,,,,P012,DISOBEYING OFFICIAL SIGN,500 INDIANA AV NW,MD,,285553,14,398360,136249,2017-09-08T10:26:00.000Z
-77.018906958200006,38.8940940544,1841246,,,,,,,P012,DISOBEYING OFFICIAL SIGN,500 INDIANA AV NW,DC,,285553,14,398360,136249,2017-09-08T10:29:00.000Z
-77.018906958200006,38.8940940544,1841247,,,,,,,P012,DISOBEYING OFFICIAL SIGN,500 INDIANA AV NW,DC,,285553,14,398360,136249,2017-09-08T10:36:00.000Z
-77.019145352799995,38.8803922683,1841311,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,736 6TH ST SW,MD,,298822,13304,398339,134728,2017-09-04T15:10:00.000Z
-77.018906958200006,38.8940940544,1841316,,,,,,,P012,DISOBEYING OFFICIAL SIGN,500 INDIANA AV NW,NY,,285553,14,398360,136249,2017-09-06T14:05:00.000Z
-77.018906958200006,38.8940940544,1841317,,,,,,,P012,DISOBEYING OFFICIAL SIGN,500 INDIANA AV NW,MD,,285553,14,398360,136249,2017-09-07T08:49:00.000Z
-77.018906958200006,38.8940940544,1841318,,,,,,,P012,DISOBEYING OFFICIAL SIGN,500 INDIANA AV NW,MD,,285553,14,398360,136249,2017-09-07T08:50:00.000Z
-77.018906958200006,38.8940940544,1841319,,,,,,,P012,DISOBEYING OFFICIAL SIGN,500 INDIANA AV NW,MD,,285553,14,398360,136249,2017-09-12T13:40:00.000Z
-77.018906958200006,38.8940940544,1841320,,,,,,,P012,DISOBEYING OFFICIAL SIGN,500 INDIANA AV NW,NC,,285553,14,398360,136249,2017-09-14T10:30:00.000Z
-76.998746718600003,38.842513423900002,1842306,,,,,,,P013,PARK WITHIN 5 FEET OF DRIVEWAY OR ALLEY,3211 6TH ST SE,FL,,38489,8362,400109,130523,2017-09-08T09:33:00.000Z
-76.994726014099996,38.850692977400001,1842307,,,,,,,P013,PARK WITHIN 5 FEET OF DRIVEWAY OR ALLEY,2700 M L KING JR AV SE,MD,,301562,1993,400458,131431,2017-09-08T09:49:00.000Z
-76.994726014099996,38.850692977400001,1842308,,,,,,,P170,FAILURE TO DISPLAY CURRENT TAGS,2700 M L KING JR AV SE,MD,,301562,1993,400458,131431,2017-09-08T09:49:00.000Z
-76.998239888,38.842450358199997,1842309,,,,,,,P386,RELOCATE TOW FEE,3200 6TH ST SE,FL,,294557,8362,400153,130516,2017-09-08T10:01:00.000Z
-77.081962859699999,38.935865522900002,1842557,,,,,,,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,4201 MASSACHUSETTS AV NW,TX,,294461,9593,392894,140889,2017-09-17T23:26:00.000Z
-77.072426162100001,38.937754556599998,1842558,,,,,,,P055,NO PARKING ANYTIME,3700 37TH ST NW,DC,,800834,620,393721,141098,2017-09-10T18:34:00.000Z
-77.078159250200002,38.93824632,1842559,,,,,,,P055,NO PARKING ANYTIME,3700 39TH ST NW,DC,,223189,5998,393224,141153,2017-09-10T06:41:00.000Z
-77.076324599800003,38.937607943099998,1842560,,,,,,,P010,OBSTRUCTING CROSSWALK,3600 38TH ST NW,DC,,223208,10389,393383,141082,2017-09-10T06:46:00.000Z
-77.073970944600006,38.9369698669,1842561,,,,,,,P055,NO PARKING ANYTIME,3800 PORTER ST NW,PA,,223308,1355,393587,141011,2017-09-10T06:53:00.000Z
-77.073970944600006,38.9369698669,1842562,,,,,,,P055,NO PARKING ANYTIME,3800 PORTER ST NW,DC,,223308,1355,393587,141011,2017-09-10T06:56:00.000Z
-77.073970944600006,38.9369698669,1842563,,,,,,,P055,NO PARKING ANYTIME,3800 PORTER ST NW,DC,,223308,1355,393587,141011,2017-09-10T07:00:00.000Z
-77.073970944600006,38.9369698669,1842564,,,,,,,P055,NO PARKING ANYTIME,3800 PORTER ST NW,DC,,223308,1355,393587,141011,2017-09-10T07:02:00.000Z
-77.073260889899998,38.930673507500003,1842565,,,,,,,P015,"OBSTRUCTING ENTRANCE OF PKG GARAGE, DOOR OR GATE",3100 WISCONSIN AV NW,VA,,223248,6434,393648,140312,2017-09-10T07:10:00.000Z
-77.074812912400006,38.925952166499997,1842566,,,,,,,P055,NO PARKING ANYTIME,3800 FULTON ST NW,DC,,263483,7296,393513,139788,2017-09-10T07:15:00.000Z
-77.070373174400004,38.926189140699996,1842567,,,,,,,P055,NO PARKING ANYTIME,3600 FULTON ST NW,DC,,801152,976,393898,139814,2017-09-10T07:18:00.000Z
-77.079061051799997,38.919355274799997,1842568,,,,,,,P055,NO PARKING ANYTIME,2200 40TH ST NW,VA,,270818,1696,393144,139056,2017-09-10T07:27:00.000Z
-77.079062719600003,38.9208596649,1842569,,,,,,,P055,NO PARKING ANYTIME,2300 40TH ST NW,DC,,271772,9876,393144,139223,2017-09-10T07:30:00.000Z
-77.077288538199994,38.922410284199998,1842570,,,,,,,P055,NO PARKING ANYTIME,3900 CALVERT ST NW,DC,,263385,12967,393298,139395,2017-09-10T07:33:00.000Z
-77.081105281600003,38.922155464399999,1842571,,,,,,,P055,NO PARKING ANYTIME,2400 41ST ST NW,MD,,274899,2400,392967,139367,2017-09-10T07:44:00.000Z
-77.0808984966,38.9228492489,1842572,,,,,,,P055,NO PARKING ANYTIME,2500 41ST ST NW,DC,,264407,3489,392985,139444,2017-09-10T07:46:00.000Z
-77.079765117199997,38.919940337900002,1842573,,,,,,,P055,NO PARKING ANYTIME,2300 40TH PL NW,DC,,805868,5021,393083,139121,2017-09-10T07:50:00.000Z
-77.078347574700004,38.9206889883,1842574,,,,,,,P055,NO PARKING ANYTIME,4000 BENTON ST NW,DC,,803509,3012,393206,139204,2017-09-10T07:54:00.000Z
-77.055726161400003,38.925134061199998,1842575,,,,,,,P055,NO PARKING ANYTIME,2700 WOODLEY RD NW,MD,,307215,7163,395168,139696,2017-09-10T08:20:00.000Z
-77.052057963300001,38.923847562900001,1842576,,,,,,,P055,NO PARKING ANYTIME,2604 CONNECTICUT AV NW,MD,,284426,6427,395486,139553,2017-09-10T08:26:00.000Z
-77.081962859699999,38.935865522900002,1842577,,,,,,,P059,PARK IN A FIRE LANE,4201 MASSACHUSETTS AV NW,VA,,294461,9593,392894,140889,2017-09-10T08:50:00.000Z
